Show_ID,Title,Genre,Release_Year,Rating,Duration,Country,Date_Added,Director,Cast,Language,Production_Type,IMDB_Score,Number_of_Episodes,Tags,User_Engagement,Award_Winning,Budget,Release_Month
s0001,Fast traditional,Drama,2014,PG-13,3 Seasons,United Kingdom,2015-08-16,Jessica Brown,"Scott Marshall, Harry Russell, Rebecca Martin",Spanish,TV Show,6.4,17,"teen drama, based on true story",501851,1,7507939,12
s0002,Trouble,Documentary,2011,TV-MA,120 min,France,2025-02-16,Charles Brown,"Eric Clark, Gabriela Ellison, Barbara Sanchez",Japanese,TV Show,6.9,15,"family, sci-fi",748258,0,16433910,6
s0003,Social activity mission,Drama,2018,R,1 Season,Spain,2019-06-25,Jonathan Alvarado,"Debra Carroll, Michelle Hodges, Mrs. Margaret Dixon DVM",English,Movie,8.3,,"based on true story, romance",681251,1,15279724,11
s0004,Culture toward chair,Sci-Fi,2021,TV-PG,1 Season,Germany,2020-06-13,Judy Francis,"Dominique Francis, Travis Thompson, Joshua Caldwell",French,TV Show,8.8,3,"thriller, based on true story",277455,0,18903427,10
s0005,Everything conference him make,Crime,2004,TV-MA,3 Seasons,United States,2018-11-04,Heidi Rivera,"Courtney Stewart, Amber Humphrey, Kayla Munoz",Hindi,Movie,4.4,,"family, thriller",642591,1,10006171,6
s0006,Nearly hand,Drama,2011,TV-PG,90 min,Canada,2016-11-28,James Tucker,"Margaret Heath, Adam Walters, Breanna Coleman",Japanese,TV Show,7.2,17,"thriller, based on true story",535335,0,15656910,12
s0007,Them own,Horror,2004,PG-13,3 Seasons,India,2023-03-12,Andrew Lawson,"Christopher Collins, David Hall, Diane Clark DVM",German,Movie,7.3,,"crime, romance",312176,0,11926009,3
s0008,Statement trial,Drama,2010,TV-14,1 Season,United Kingdom,2023-03-28,Christopher Lee,"Travis Baker, Brenda Rivera, Jennifer Liu",Spanish,TV Show,5,9,"dark comedy, thriller",629089,0,3082040,7
s0009,That test,Crime,2021,TV-MA,1 Season,Canada,2019-06-10,Christopher Lee,"Ryan Barr, Erin Peters, Andrew Wood",Spanish,TV Show,7.7,18,"sci-fi, teen drama",816040,0,12315250,6
s0010,Well reduce child,Comedy,2003,R,120 min,Canada,2019-08-21,Alison Harper,"Susan Johnson, Mariah Rodriguez, Laura Gutierrez",French,TV Show,7,13,"thriller, dark comedy",100875,0,5157883,9
s0011,Cost dream,Documentary,2008,PG-13,1 Season,Spain,2022-02-01,Richard Thornton,"Kevin Rogers, Cindy Lyons, Jason Adams",English,Movie,6.1,,"teen drama, thriller",850338,0,14660830,9
s0012,Leader defense force,Horror,2019,TV-PG,3 Seasons,France,2016-03-17,Tyrone Jimenez,"David Taylor, Timothy Matthews, Ryan Baker",German,TV Show,7.9,7,"thriller, teen drama",989817,1,7962168,2
s0013,If entire,Sci-Fi,2009,R,120 min,Spain,2021-02-22,Tommy Horn,"Margaret Heath, Mariah Warren, Jose Fernandez",Japanese,Movie,6.2,,"action-packed, romance",306816,0,9813425,11
s0014,End deal send anything,Crime,2017,TV-14,1 Season,France,2016-03-29,Emily Simmons,"Marcia Thomas MD, Elizabeth Watson, Joseph Mccoy",Hindi,Movie,6.5,,"action-packed, dark comedy",602669,0,17230797,9
s0015,Majority goal,Comedy,2007,R,120 min,United Kingdom,2021-02-26,Jared Rogers,"Michele Logan, Jose Gibson, Renee Chambers",French,TV Show,7.1,12,"thriller, family",646164,0,19325435,2
s0016,Trade,Action,2018,PG-13,3 Seasons,Canada,2022-09-02,Richard Thornton,"Mr. Eric Finley PhD, George Delacruz, Traci Barnett",English,Movie,8,,"teen drama, crime",187492,1,4754083,2
